Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
organ,,piano,piano,,organ,0,655f97cd4f1c17ae262fd0fa
go-cart,,car,car,,go-cart,0,655f97cd4f1c17ae262fd0fa
wasp,,bee,bee,,wasp,0,655f97cd4f1c17ae262fd0fa
zebra,,horse,horse,,zebra,1,655f97cd4f1c17ae262fd0fa
flute,,pan flute,pan flute,,flute,1,655f97cd4f1c17ae262fd0fa
swan,,duck,duck,,swan,1,655f97cd4f1c17ae262fd0fa
rooster,,chicken,chicken,,rooster,1,655f97cd4f1c17ae262fd0fa
bass guitar,,guitar,guitar,,bass guitar,0,655f97cd4f1c17ae262fd0fa
saxophone,,trumpet,trumpet,,saxophone,0,655f97cd4f1c17ae262fd0fa
tiger,,cat,cat,,tiger,1,655f97cd4f1c17ae262fd0fa
blouse,,shirt,shirt,,blouse,0,655f97cd4f1c17ae262fd0fa
cello,,violin,violin,,cello,0,655f97cd4f1c17ae262fd0fa
mouse,,hamster,hamster,,mouse,1,655f97cd4f1c17ae262fd0fa
wasp,,bumblebee,bumblebee,,wasp,0,655f97cd4f1c17ae262fd0fa
turkey,,chicken,chicken,,turkey,1,655f97cd4f1c17ae262fd0fa
rifle,,pistol,pistol,,rifle,0,655f97cd4f1c17ae262fd0fa
bumblebee,,bee,bee,,bumblebee,1,655f97cd4f1c17ae262fd0fa
snake,,boa,boa,,snake,1,655f97cd4f1c17ae262fd0fa
sparrow,,robin,robin,,sparrow,1,655f97cd4f1c17ae262fd0fa
horse,,donkey,donkey,,horse,0,655f97cd4f1c17ae262fd0fa
axe,,knife,knife,,axe,0,655f97cd4f1c17ae262fd0fa
cello,,double bass,double bass,,cello,1,655f97cd4f1c17ae262fd0fa
truck,,car,car,,truck,0,655f97cd4f1c17ae262fd0fa
submarine,,boat,boat,,submarine,0,655f97cd4f1c17ae262fd0fa
vulture,,eagle,eagle,,vulture,0,655f97cd4f1c17ae262fd0fa
tiger,,lion,lion,,tiger,0,655f97cd4f1c17ae262fd0fa
trombone,,trumpet,trumpet,,trombone,0,655f97cd4f1c17ae262fd0fa
falcon,,eagle,eagle,,falcon,0,655f97cd4f1c17ae262fd0fa
banjo,,guitar,guitar,,banjo,0,655f97cd4f1c17ae262fd0fa
crocodile,,alligator,alligator,,crocodile,1,655f97cd4f1c17ae262fd0fa
parakeet,,canary,canary,,parakeet,0,655f97cd4f1c17ae262fd0fa
sardine,,anchovy,anchovy,,sardine,1,655f97cd4f1c17ae262fd0fa
pants,,jeans,jeans,,pants,1,655f97cd4f1c17ae262fd0fa
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,655f97cd4f1c17ae262fd0fa
piano,,synthesizer,synthesizer,,piano,1,655f97cd4f1c17ae262fd0fa
sparrow,,robin,robin,,sparrow,1,65bcf5f4bb0e97c27027be33
machine gun,,pistol,pistol,,machine gun,0,65bcf5f4bb0e97c27027be33
