,Premise 1,Premise 2,Conclusion,GPT-4,GPT-3.5
0,airplane,bat,car,5.0,10.0
1,airplane,bat,van,5.0,5.0
2,airplane,robin,bus,5.0,0.0
3,airplane,robin,van,5.0,5.0
4,airplane,sparrow,van,5.0,5.0
5,bee,airplane,van,20.0,0.0
6,cat,goldfish,swordfish,30.0,5.0
7,cat,goldfish,wolf,65.0,5.0
8,cat,turtle,wolf,30.0,10.0
9,chicken,cow,beaver,5.0,0.0
10,chicken,cow,hedgehog,5.0,5.0
11,chicken,cow,kangaroo,30.0,10.0
12,chicken,cow,seagull,10.0,10.0
13,chicken,pig,bat,5.0,10.0
14,chicken,pig,hedgehog,5.0,0.0
15,chicken,pig,kangaroo,25.0,0.0
16,chicken,pig,seagull,10.0,10.0
17,chicken,salmon,falcon,10.0,10.0
18,chicken,salmon,piranha,30.0,10.0
19,chicken,salmon,seagull,5.0,50.0
20,chicken,salmon,sparrow,10.0,10.0
21,cow,duck,beaver,30.0,10.0
22,cow,duck,cuckoo,75.0,5.0
23,cow,duck,falcon,30.0,5.0
24,cow,duck,owl,75.0,10.0
25,cow,duck,swan,75.0,50.0
26,dog,goldfish,wolf,75.0,50.0
27,dog,turtle,cow,75.0,10.0
28,fly,airplane,bus,30.0,10.0
29,fly,airplane,car,20.0,10.0
30,fly,helicopter,van,5.0,5.0
31,goldfish,turtle,swordfish,75.0,10.0
32,hamster,goldfish,swordfish,30.0,5.0
33,hamster,parrot,seagull,65.0,10.0
34,horsefly,airplane,van,20.0,0.0
35,parrot,goldfish,seagull,75.0,10.0
36,parrot,turtle,stork,75.0,10.0
37,pig,duck,beaver,35.0,10.0
38,pig,duck,hedgehog,30.0,5.0
39,pig,duck,peacock,75.0,10.0
40,pig,duck,seagull,30.0,10.0
41,pig,salmon,dolphin,30.0,10.0
42,pig,salmon,piranha,30.0,10.0
43,pig,salmon,sperm whale,30.0,5.0
44,turkey,salmon,blackbird,20.0,10.0
45,turkey,salmon,seagull,5.0,10.0
46,turkey,salmon,sperm whale,5.0,0.0
47,turkey,salmon,swan,30.0,50.0
48,airplane,bat,bee,90.0,10.0
49,airplane,robin,bee,90.0,10.0
50,airplane,sparrow,bee,90.0,10.0
51,bee,airplane,robin,80.0,5.0
52,cat,goldfish,parrot,90.0,10.0
53,cat,turtle,parrot,75.0,10.0
54,chicken,cow,salmon,30.0,5.0
55,chicken,cow,trout,10.0,0.0
56,chicken,pig,salmon,30.0,5.0
57,chicken,pig,sardine,30.0,5.0
58,chicken,pig,anchovy,10.0,0.0
59,chicken,salmon,cow,90.0,0.0
60,chicken,salmon,pig,90.0,0.0
61,chicken,salmon,sheep,90.0,0.0
62,cow,duck,herring,20.0,5.0
63,cow,duck,salmon,30.0,5.0
64,cow,duck,sardine,30.0,5.0
65,dog,goldfish,parrot,90.0,50.0
66,dog,turtle,parrot,75.0,10.0
67,fly,airplane,bat,90.0,10.0
68,fly,airplane,robin,90.0,10.0
69,fly,airplane,sparrow,90.0,10.0
70,fly,helicopter,robin,80.0,10.0
71,goldfish,turtle,parrot,75.0,10.0
72,hamster,goldfish,parrot,85.0,10.0
73,hamster,parrot,goldfish,75.0,10.0
74,hamster,parrot,turtle,85.0,10.0
75,horsefly,airplane,robin,75.0,0.0
76,parrot,goldfish,turtle,75.0,10.0
77,parrot,turtle,goldfish,75.0,5.0
78,pig,duck,herring,10.0,5.0
79,pig,duck,salmon,30.0,5.0
80,pig,salmon,chicken,85.0,10.0
81,pig,salmon,turkey,80.0,10.0
82,turkey,salmon,cow,75.0,0.0
83,turkey,salmon,sheep,75.0,0.0
