,Premise 1,Conclusion 1,Distractor 1,Conclusion 2,Distractor 2,Participant Group,Conclusion 1 Chosen,Conclusion 2 Chosen,participant_id
0,crow,mouse,bus,airplane,hamster,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
1,sparrow,mouse,bus,airplane,hamster,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
2,trout,shark,horse,pig,dolphin,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
3,trout,orca,horse,pig,whale,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
4,robin,mouse,bus,airplane,hamster,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
5,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
6,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
7,tank,truck,pistol,rifle,car,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
8,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
9,pelican,mouse,bus,airplane,hamster,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
10,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
11,blackbird,polar bear,bus,airplane,penguin,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
12,salmon,shark,horse,pig,whale,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
13,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
14,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
15,duck,pelican,horse,pig,seagull,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
16,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
17,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
18,duck,pelican,horse,cow,seagull,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
19,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
20,blackbird,mouse,bus,airplane,hamster,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
21,owl,polar bear,car,airplane,penguin,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
22,robin,mouse,car,airplane,hamster,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
23,car,motorbike,tram,train,bicycle,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
24,salmon,sperm whale,horse,pig,whale,Distractor 1,False,False,5f0f7fe1d7ad1c000b42d091
25,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
26,salmon,orca,horse,pig,whale,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
27,tank,car,pistol,rifle,truck,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
28,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
29,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
30,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
31,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
32,pelican,polar bear,bus,airplane,penguin,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
33,snake,alligator,toad,frog,crocodile,Distractor 1,False,True,5f0f7fe1d7ad1c000b42d091
34,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,5f0f7fe1d7ad1c000b42d091
35,tank,car,pistol,rifle,truck,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
36,owl,polar bear,car,airplane,penguin,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
37,blackbird,polar bear,car,airplane,penguin,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
38,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
39,trout,shark,horse,pig,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
40,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
41,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
42,car,motorbike,tram,train,bicycle,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
43,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
44,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
45,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
46,trout,orca,horse,pig,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
47,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
48,crow,mouse,bus,airplane,hamster,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
49,salmon,shark,horse,pig,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
50,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
51,blackbird,mouse,car,airplane,hamster,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
52,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
53,robin,mouse,bus,airplane,hamster,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
54,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
55,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
56,salmon,orca,horse,pig,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
57,tank,truck,pistol,rifle,car,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
58,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
59,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
60,pelican,polar bear,bus,airplane,penguin,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
61,blackbird,mouse,bus,airplane,hamster,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
62,blackbird,polar bear,bus,airplane,penguin,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
63,sparrow,mouse,bus,airplane,hamster,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
64,pelican,polar bear,van,airplane,penguin,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
65,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,650af1daf13dcbe197f1ff6e
66,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
67,duck,pelican,horse,pig,seagull,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
68,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
69,duck,pelican,horse,cow,seagull,Distractor 1,True,False,650af1daf13dcbe197f1ff6e
70,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,62a33c442c64c9d129b53f32
71,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
72,sparrow,mouse,bus,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
73,salmon,shark,horse,pig,whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
74,blackbird,mouse,bus,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
75,crow,mouse,bus,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
76,robin,mouse,bus,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
77,tank,truck,pistol,rifle,car,Distractor 1,True,False,62a33c442c64c9d129b53f32
78,blackbird,mouse,car,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
79,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,62a33c442c64c9d129b53f32
80,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
81,trout,shark,horse,pig,dolphin,Distractor 1,True,False,62a33c442c64c9d129b53f32
82,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,62a33c442c64c9d129b53f32
83,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
84,pelican,mouse,bus,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
85,blackbird,polar bear,car,airplane,penguin,Distractor 1,False,True,62a33c442c64c9d129b53f32
86,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,62a33c442c64c9d129b53f32
87,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,62a33c442c64c9d129b53f32
88,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,False,62a33c442c64c9d129b53f32
89,owl,polar bear,car,airplane,penguin,Distractor 1,False,True,62a33c442c64c9d129b53f32
90,trout,shark,horse,pig,whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
91,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,62a33c442c64c9d129b53f32
92,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,62a33c442c64c9d129b53f32
93,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,62a33c442c64c9d129b53f32
94,trout,orca,horse,pig,whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
95,robin,mouse,car,airplane,hamster,Distractor 1,False,True,62a33c442c64c9d129b53f32
96,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,62a33c442c64c9d129b53f32
97,tank,car,pistol,rifle,truck,Distractor 1,True,False,62a33c442c64c9d129b53f32
98,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,True,False,62a33c442c64c9d129b53f32
99,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,62a33c442c64c9d129b53f32
100,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,62a33c442c64c9d129b53f32
101,cobra,alligator,gecko,lizard,crocodile,Distractor 1,True,False,62a33c442c64c9d129b53f32
102,duck,pelican,horse,pig,seagull,Distractor 1,True,False,62a33c442c64c9d129b53f32
103,pelican,polar bear,bus,airplane,penguin,Distractor 1,False,True,62a33c442c64c9d129b53f32
104,snake,alligator,chameleon,lizard,crocodile,Distractor 1,True,False,62a33c442c64c9d129b53f32
105,salmon,sperm whale,horse,pig,whale,Distractor 2,False,False,5db5e92f734a26000b470dde
106,tank,truck,pistol,rifle,car,Distractor 2,False,True,5db5e92f734a26000b470dde
107,salmon,shark,sparrow,chicken,whale,Distractor 2,True,False,5db5e92f734a26000b470dde
108,cello,guitar,organ,piano,bass guitar,Distractor 2,False,False,5db5e92f734a26000b470dde
109,robin,mouse,car,airplane,hamster,Distractor 2,False,False,5db5e92f734a26000b470dde
110,blackbird,mouse,bus,airplane,hamster,Distractor 2,False,False,5db5e92f734a26000b470dde
111,sparrow,mouse,bus,airplane,hamster,Distractor 2,False,False,5db5e92f734a26000b470dde
112,trout,shark,horse,pig,dolphin,Distractor 2,True,False,5db5e92f734a26000b470dde
113,duck,pelican,horse,pig,seagull,Distractor 2,False,False,5db5e92f734a26000b470dde
114,duck,pelican,horse,cow,seagull,Distractor 2,True,False,5db5e92f734a26000b470dde
115,snake,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5db5e92f734a26000b470dde
116,car,motorbike,tram,train,bicycle,Distractor 2,True,False,5db5e92f734a26000b470dde
117,cobra,alligator,toad,frog,crocodile,Distractor 2,True,False,5db5e92f734a26000b470dde
118,trout,shark,horse,pig,whale,Distractor 2,True,False,5db5e92f734a26000b470dde
119,robin,mouse,bus,airplane,hamster,Distractor 2,False,False,5db5e92f734a26000b470dde
120,trout,orca,horse,pig,whale,Distractor 2,False,False,5db5e92f734a26000b470dde
121,snake,alligator,toad,frog,crocodile,Distractor 2,True,False,5db5e92f734a26000b470dde
122,owl,cat,bus,airplane,lion,Distractor 2,True,False,5db5e92f734a26000b470dde
123,cobra,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5db5e92f734a26000b470dde
124,salmon,shark,sparrow,chicken,dolphin,Distractor 2,False,False,5db5e92f734a26000b470dde
125,trout,sperm whale,horse,pig,whale,Distractor 2,False,False,5db5e92f734a26000b470dde
126,blackbird,polar bear,car,airplane,penguin,Distractor 2,True,False,5db5e92f734a26000b470dde
127,snake,alligator,gecko,lizard,crocodile,Distractor 2,False,True,5db5e92f734a26000b470dde
128,crow,mouse,bus,airplane,hamster,Distractor 2,False,False,5db5e92f734a26000b470dde
129,owl,polar bear,bus,airplane,penguin,Distractor 2,False,False,5db5e92f734a26000b470dde
130,tank,car,pistol,rifle,truck,Distractor 2,False,True,5db5e92f734a26000b470dde
131,robin,polar bear,car,airplane,penguin,Distractor 2,False,False,5db5e92f734a26000b470dde
132,salmon,shark,horse,pig,whale,Distractor 2,True,False,5db5e92f734a26000b470dde
133,pelican,polar bear,van,airplane,penguin,Distractor 2,False,False,5db5e92f734a26000b470dde
134,eagle,rooster,pelican,seagull,chicken,Distractor 2,False,True,5db5e92f734a26000b470dde
135,cobra,alligator,gecko,lizard,crocodile,Distractor 2,False,True,5db5e92f734a26000b470dde
136,blackbird,polar bear,bus,airplane,penguin,Distractor 2,False,False,5db5e92f734a26000b470dde
137,pelican,polar bear,bus,airplane,penguin,Distractor 2,False,False,5db5e92f734a26000b470dde
138,duck,pelican,goldfish,salmon,seagull,Distractor 2,True,False,5db5e92f734a26000b470dde
139,salmon,orca,horse,pig,whale,Distractor 2,False,False,5db5e92f734a26000b470dde
140,salmon,orca,horse,pig,whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
141,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,True,657065aa0c153f5a01470d1b
142,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,657065aa0c153f5a01470d1b
143,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,657065aa0c153f5a01470d1b
144,blackbird,polar bear,car,airplane,penguin,Distractor 1,True,False,657065aa0c153f5a01470d1b
145,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
146,tank,truck,pistol,rifle,car,Distractor 1,True,False,657065aa0c153f5a01470d1b
147,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,657065aa0c153f5a01470d1b
148,trout,shark,horse,pig,dolphin,Distractor 1,True,False,657065aa0c153f5a01470d1b
149,robin,mouse,bus,airplane,hamster,Distractor 1,True,False,657065aa0c153f5a01470d1b
150,trout,orca,horse,pig,whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
151,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,657065aa0c153f5a01470d1b
152,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,657065aa0c153f5a01470d1b
153,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
154,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,657065aa0c153f5a01470d1b
155,owl,cat,bus,airplane,lion,Distractor 1,True,False,657065aa0c153f5a01470d1b
156,crow,mouse,bus,airplane,hamster,Distractor 1,True,False,657065aa0c153f5a01470d1b
157,tank,car,pistol,rifle,truck,Distractor 1,True,False,657065aa0c153f5a01470d1b
158,duck,pelican,horse,pig,seagull,Distractor 1,True,False,657065aa0c153f5a01470d1b
159,owl,polar bear,car,airplane,penguin,Distractor 1,True,False,657065aa0c153f5a01470d1b
160,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,657065aa0c153f5a01470d1b
161,trout,shark,horse,pig,whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
162,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,657065aa0c153f5a01470d1b
163,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,657065aa0c153f5a01470d1b
164,pelican,polar bear,bus,airplane,penguin,Distractor 1,True,False,657065aa0c153f5a01470d1b
165,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
166,duck,pelican,horse,cow,seagull,Distractor 1,True,False,657065aa0c153f5a01470d1b
167,blackbird,mouse,car,airplane,hamster,Distractor 1,True,False,657065aa0c153f5a01470d1b
168,blackbird,polar bear,bus,airplane,penguin,Distractor 1,True,False,657065aa0c153f5a01470d1b
169,car,motorbike,tram,train,bicycle,Distractor 1,True,False,657065aa0c153f5a01470d1b
170,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,657065aa0c153f5a01470d1b
171,pelican,mouse,bus,airplane,hamster,Distractor 1,True,False,657065aa0c153f5a01470d1b
172,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,657065aa0c153f5a01470d1b
173,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,657065aa0c153f5a01470d1b
174,robin,mouse,car,airplane,hamster,Distractor 1,True,False,657065aa0c153f5a01470d1b
175,robin,polar bear,car,airplane,penguin,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
176,robin,mouse,bus,airplane,hamster,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
177,cobra,alligator,gecko,lizard,crocodile,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
178,owl,polar bear,bus,airplane,penguin,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
179,owl,cat,bus,airplane,lion,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
180,cat,hamster,zebra,horse,mouse,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
181,duck,pelican,horse,cow,seagull,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
182,duck,pelican,horse,pig,seagull,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
183,salmon,shark,sparrow,chicken,dolphin,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
184,trout,shark,horse,pig,whale,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
185,blackbird,mouse,bus,airplane,hamster,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
186,salmon,orca,horse,pig,whale,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
187,cobra,alligator,toad,frog,crocodile,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
188,eagle,rooster,pelican,seagull,chicken,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
189,trout,shark,horse,pig,dolphin,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
190,robin,mouse,car,airplane,hamster,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
191,dolphin,whale,herring,cod,sperm whale,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
192,snake,alligator,toad,frog,crocodile,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
193,cello,guitar,organ,piano,bass guitar,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
194,owl,polar bear,car,airplane,penguin,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
195,pelican,polar bear,bus,airplane,penguin,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
196,snake,alligator,gecko,lizard,crocodile,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
197,salmon,shark,sparrow,chicken,whale,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
198,sparrow,mouse,bus,airplane,hamster,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
199,tank,car,pistol,rifle,truck,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
200,salmon,shark,horse,pig,dolphin,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
201,trout,orca,horse,pig,whale,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
202,salmon,sperm whale,horse,pig,whale,Distractor 2,False,False,5c5cad3e4ee81200018eafe2
203,snake,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
204,duck,pelican,goldfish,salmon,seagull,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
205,tank,truck,pistol,rifle,car,Distractor 2,True,False,5c5cad3e4ee81200018eafe2
206,cobra,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
207,pelican,mouse,bus,airplane,hamster,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
208,blackbird,mouse,car,airplane,hamster,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
209,crow,mouse,bus,airplane,hamster,Distractor 2,False,True,5c5cad3e4ee81200018eafe2
210,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
211,sparrow,mouse,bus,airplane,hamster,Distractor 1,False,True,608702d7661a76c56f62a02a
212,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,608702d7661a76c56f62a02a
213,blackbird,polar bear,car,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
214,duck,pelican,horse,pig,seagull,Distractor 1,True,False,608702d7661a76c56f62a02a
215,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,608702d7661a76c56f62a02a
216,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,608702d7661a76c56f62a02a
217,trout,shark,horse,pig,dolphin,Distractor 1,True,False,608702d7661a76c56f62a02a
218,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,608702d7661a76c56f62a02a
219,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
220,pelican,polar bear,bus,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
221,duck,pelican,horse,cow,seagull,Distractor 1,True,False,608702d7661a76c56f62a02a
222,owl,polar bear,car,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
223,car,motorbike,tram,train,bicycle,Distractor 1,True,False,608702d7661a76c56f62a02a
224,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,608702d7661a76c56f62a02a
225,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,608702d7661a76c56f62a02a
226,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,608702d7661a76c56f62a02a
227,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,True,608702d7661a76c56f62a02a
228,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,608702d7661a76c56f62a02a
229,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,608702d7661a76c56f62a02a
230,crow,mouse,bus,airplane,hamster,Distractor 1,False,True,608702d7661a76c56f62a02a
231,robin,mouse,car,airplane,hamster,Distractor 1,False,True,608702d7661a76c56f62a02a
232,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,608702d7661a76c56f62a02a
233,pelican,mouse,bus,airplane,hamster,Distractor 1,False,True,608702d7661a76c56f62a02a
234,pelican,polar bear,van,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
235,owl,cat,bus,airplane,lion,Distractor 1,False,True,608702d7661a76c56f62a02a
236,cobra,alligator,gecko,lizard,crocodile,Distractor 1,True,False,608702d7661a76c56f62a02a
237,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,608702d7661a76c56f62a02a
238,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,608702d7661a76c56f62a02a
239,salmon,shark,horse,pig,whale,Distractor 1,True,False,608702d7661a76c56f62a02a
240,blackbird,mouse,car,airplane,hamster,Distractor 1,False,True,608702d7661a76c56f62a02a
241,tank,car,pistol,rifle,truck,Distractor 1,True,False,608702d7661a76c56f62a02a
242,salmon,orca,horse,pig,whale,Distractor 1,True,False,608702d7661a76c56f62a02a
243,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,608702d7661a76c56f62a02a
244,blackbird,polar bear,bus,airplane,penguin,Distractor 1,False,True,608702d7661a76c56f62a02a
245,salmon,shark,horse,pig,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
246,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
247,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
248,salmon,orca,horse,pig,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
249,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
250,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
251,robin,polar bear,car,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
252,owl,polar bear,car,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
253,trout,orca,horse,pig,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
254,blackbird,mouse,car,airplane,hamster,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
255,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,606a5eba8ae3d9d334a69abc
256,duck,pelican,horse,cow,seagull,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
257,car,motorbike,tram,train,bicycle,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
258,owl,polar bear,bus,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
259,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
260,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
261,trout,shark,horse,pig,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
262,tank,truck,pistol,rifle,car,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
263,owl,cat,bus,airplane,lion,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
264,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
265,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,606a5eba8ae3d9d334a69abc
266,trout,shark,horse,pig,dolphin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
267,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
268,blackbird,mouse,bus,airplane,hamster,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
269,crow,mouse,bus,airplane,hamster,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
270,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
271,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
272,pelican,polar bear,bus,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
273,snake,alligator,gecko,lizard,crocodile,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
274,robin,mouse,bus,airplane,hamster,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
