,Premise 1,Conclusion,GPT-4,GPT-3.5
0,Boot,Boot,5.981481481481482,7.742434609482776
1,Boot,beanie,4.5,9.468963304642713
2,Boot,belt,6.5,8.741446535837333
3,Boot,blouse,3.5,5.104892668178452
4,Boot,bra,3.0,2.510658139514783
5,Boot,cap,5.5,8.944137273587419
6,Boot,coat,7.5,10.162587120581785
7,Boot,dress,4.0,7.410154319645011
8,Boot,dungarees,5.0,9.88653475564492
9,Boot,hat,6.5,8.423412205689855
10,Boot,jeans,7.0,11.272710403492784
11,Boot,mittens,12.0,8.148926275018269
12,Boot,panties,3.0,6.231085562043033
13,Boot,pants,7.5,9.648388440025066
14,Boot,pullover,3.5,9.677978592607154
15,Boot,pyjamas,4.0,2.905508350283738
16,Boot,scarf,4.0,4.381034183248935
17,Boot,shirt,5.0,4.507008743607006
18,Boot,shoes,18.0,15.440925048274028
19,Boot,shorts,6.5,9.028342285096386
20,Boot,skirt,4.5,7.865029154598152
21,Boot,socks,15.0,7.8821604373690635
22,Boot,suit,4.5,8.617935902564964
23,Boot,sweater,6.0,8.695201529367536
24,Boot,t-shirt,3.5,4.409195520745993
25,Boot,tie,3.5,5.61950562052866
26,Boot,top,4.5,5.240661335312203
27,Boot,tracksuit,3.5,8.82135074852971
28,Mopeds,Mopeds,6.760869565217392,6.692642012438879
29,Mopeds,airplane,4.0,2.257727555972965
30,Mopeds,bicycle,15.0,13.720332692447814
31,Mopeds,boat,4.5,5.595653485194418
32,Mopeds,bus,7.0,7.027303870928324
33,Mopeds,car,13.5,9.517023248772215
34,Mopeds,carriage,8.0,7.874943322661643
35,Mopeds,cart,10.0,9.02190958112791
36,Mopeds,helicopter,3.5,5.599201999529031
37,Mopeds,hovercraft,7.0,8.401164936680246
38,Mopeds,jeep,7.0,7.495514332749931
39,Mopeds,motorbike,15.0,15.924771180107138
40,Mopeds,rocket,3.5,2.0382504006038085
41,Mopeds,skateboard,8.0,6.10246846359749
42,Mopeds,sled,5.0,4.703333667750726
43,Mopeds,submarine,2.0,1.0539005882640766
44,Mopeds,taxi,9.0,8.668364078779856
45,Mopeds,tractor,5.0,6.058398364486169
46,Mopeds,trailer,4.0,6.046031483531902
47,Mopeds,train,4.0,4.17133809279908
48,Mopeds,tram,5.5,7.424739114348386
49,Mopeds,truck,5.5,6.486168932584045
50,Mopeds,van,7.5,7.741422025741667
51,Mopeds,zeppelin,2.0,1.0008048674353702
52,accordion,accordion,5.928571428571429,11.999560401150712
53,accordion,bagpipe,10.0,12.352938568681633
54,accordion,banjo,5.0,11.871607591036497
55,accordion,bassoon,4.5,11.45803940333704
56,accordion,cello,4.5,12.910346827228473
57,accordion,clarinet,4.5,13.352580815122357
58,accordion,cymbals,3.5,9.285604656426118
59,accordion,drum,3.5,9.80687769587663
60,accordion,flute,3.5,13.10369026875458
61,accordion,guitar,6.5,13.668043427141523
62,accordion,harmonica,12.0,14.685708365170864
63,accordion,harp,4.5,13.051140988423878
64,accordion,harpsichord,6.0,12.819355050166624
65,accordion,organ,12.0,15.40464097508085
66,accordion,piano,11.0,12.363094140121012
67,accordion,saxophone,4.5,11.449906139384645
68,accordion,synthesizer,9.0,10.46064975794734
69,accordion,tambourine,3.5,10.775305952685443
70,accordion,triangle,2.5,7.380953116795597
71,accordion,trombone,4.5,10.308446858476636
72,accordion,trumpet,4.5,12.564589490747684
73,accordion,violin,5.0,12.917248335559528
74,adjustable spanner,adjustable spanner,5.775,9.840114639569617
75,adjustable spanner,anvil,4.0,6.22559861547028
76,adjustable spanner,axe,4.0,9.201761100746896
77,adjustable spanner,chisel,5.0,10.424825286969332
78,adjustable spanner,crowbar,6.5,15.555352425187337
79,adjustable spanner,drill,7.5,9.900691776837153
80,adjustable spanner,file,5.0,9.605915788073816
81,adjustable spanner,hammer,6.5,11.695863688795324
82,adjustable spanner,knife,4.5,7.599158285550484
83,adjustable spanner,level,5.0,10.307140503555324
84,adjustable spanner,nail,3.0,6.5528749320282635
85,adjustable spanner,pickaxe,4.5,9.908772795974214
86,adjustable spanner,plane,4.0,8.93322998343062
87,adjustable spanner,plough,3.0,4.855409662597769
88,adjustable spanner,rope,2.5,5.878821199379983
89,adjustable spanner,saw,4.5,9.189833829776425
90,adjustable spanner,screwdriver,10.0,14.296324206686581
91,adjustable spanner,shovel,4.5,8.168236406887907
92,adjustable spanner,tongs,9.5,13.17518389969213
93,adjustable spanner,wheelbarrow,3.0,8.159598263478662
94,adjustable spanner,wrench,19.0,17.167700140273837
95,airplane,Mopeds,4.0,2.257727555972965
96,airplane,airplane,7.282608695652174,6.691314885517607
97,airplane,bicycle,5.0,4.680646616003114
98,airplane,boat,8.0,8.358497880942707
99,airplane,bus,10.0,7.814651476963547
100,airplane,car,8.0,6.5629674231890265
101,airplane,carriage,5.0,5.079282046248217
102,airplane,cart,4.5,3.5425077467425097
103,airplane,helicopter,15.0,15.244298149491335
104,airplane,hovercraft,12.0,9.142534880174289
105,airplane,jeep,4.0,5.577519899060599
106,airplane,motorbike,5.0,7.509388730359252
107,airplane,rocket,13.0,13.497724512971867
108,airplane,skateboard,2.5,1.1864134228352037
109,airplane,sled,5.0,2.783360136339235
110,airplane,submarine,7.5,6.389227511527812
111,airplane,taxi,7.0,6.838959027051146
112,airplane,tractor,4.0,4.127096238366338
113,airplane,trailer,7.0,5.07899409570935
114,airplane,train,7.5,8.525895072971707
115,airplane,tram,6.0,6.760074584072141
116,airplane,truck,7.5,5.655321354033067
117,airplane,van,6.5,5.023804404490671
118,airplane,zeppelin,13.5,12.26334960138886
119,alligator,alligator,6.666666666666667,10.530333863702285
120,alligator,chameleon,4.5,8.02378522562151
121,alligator,cobra,4.5,10.556099585199265
122,alligator,crocodile,16.0,17.77425511936422
123,alligator,dinosaur,10.0,5.906455835191444
124,alligator,frog,3.5,9.619754462868578
125,alligator,gecko,5.0,9.733932374024572
126,alligator,iguana,6.0,9.24255938076698
127,alligator,lizard,9.0,11.548210549376039
128,alligator,python,6.5,12.072051753786685
129,alligator,salamander,4.5,8.72482307799429
130,alligator,snake,8.0,12.676895072036645
131,alligator,toad,2.5,9.381420519981713
132,alligator,tortoise,6.0,10.159399907522513
133,alligator,turtle,8.0,12.383772733177517
134,alligator,viper,6.0,10.151592358622306
135,anchovy,anchovy,5.833333333333333,8.481754505428958
136,anchovy,carp,7.0,8.46207755986281
137,anchovy,cod,7.5,9.78723987838217
138,anchovy,dolphin,2.0,4.0588333289108425
139,anchovy,eel,5.5,8.490491990681264
140,anchovy,flatfish,6.0,9.214939144417407
141,anchovy,goldfish,4.5,7.943486832198495
142,anchovy,herring,14.5,11.656586892785064
143,anchovy,orca,1.5,4.1545831383470535
144,anchovy,pike,4.5,7.877528107167083
145,anchovy,piranha,4.0,7.269499238505579
146,anchovy,plaice,6.5,8.58616961221426
147,anchovy,ray,3.5,8.8187290188356
148,anchovy,sardine,14.5,14.817357369518568
149,anchovy,shark,3.5,7.620502963459666
150,anchovy,squid,4.0,9.29156305306189
151,anchovy,stickleback,7.5,10.088150260571126
152,anchovy,trout,7.0,8.832934605917696
153,ant,ant,7.5,10.929562731301232
154,ant,bee,13.5,14.024581562664919
155,ant,beetle,10.0,13.29400452700252
156,ant,bumblebee,8.0,13.931668283129351
157,ant,butterfly,6.5,9.56892729295306
158,ant,caterpillar,7.5,10.433573136899394
159,ant,centipede,7.5,10.77537001582143
160,ant,cockroach,10.0,11.916626784776
161,ant,cricket,8.0,12.202017924235236
162,ant,dragonfly,4.0,10.52767314982536
163,ant,earwig,8.0,10.631052229361252
164,ant,flee,7.0,9.94681636837014
165,ant,fly,6.5,10.703959065430713
166,ant,grasshopper,7.5,11.498294432903908
167,ant,horsefly,7.0,9.870263613501303
168,ant,ladybug,8.0,11.726363763717718
169,ant,leech,3.0,8.834422293482497
